brand,description,color_material,price
Samsung, 22.5 Cu. Ft. Counter Depth 4-Door Flex French Door Fingerprint Resistant Refrigerator with Convertible Zone, Black stainless steel,3199.99
LG, 22.5 Cu. Ft. 4-Door French Door Counter-Depth Refrigerator with Door-in-Door and Craft Ice, PrintProof Black Stainless Steel,3399.99
Whirlpool, 24.7 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Black Stainless,2299.99
Samsung," 23 cu. ft. 4-Door Flex™ French Door Counter Depth Refrigerator with WiFi, Beverage Center and Dual Ice Maker", Fingerprint Resistant Black Stainless Steel,3329.99
Samsung, 27.8 Cu. Ft. French Door Fingerprint Resistant Refrigerator with Food Showcase, Stainless steel,2699.99
Samsung, 25.5 Cu. Ft. French Door Refrigerator with Internal Water Dispenser, Stainless steel,1649.99
Thermador, Professional 20.8 cu. Ft. French Door Counter-Depth Refrigerator with HomeConnect,,4999.0
Samsung, 25 cu. ft. Large Capacity 4-Door French Door Refrigerator with External Water & Ice Dispenser, Fingerprint Resistant Black Stainless Steel,2789.99
Café, 22.2 Cu. Ft. French Door Counter-Depth Refrigerator with Hot Water Dispenser, Stainless steel,3086.0
Samsung, 22.6 Cu. Ft. French Door Counter-Depth Fingerprint Resistant Refrigerator with CoolSelect Pantry™, Black stainless steel,2609.99
Whirlpool, 26.2 Cu. Ft. 4-Door French Door Refrigerator, Fingerprint Resistant Stainless Steel,3299.99
Café, 27.6 Cu. Ft. 4-Door French Door Refrigerator, Brushed Stainless,3509.99
Café, 27.6 Cu. Ft. 4-Door French Door Refrigerator, Matte Black,3689.99
Samsung, 18 Cu.Ft. French Door Counter-Depth Fingerprint Resistant Refrigerator, Black stainless steel,1349.99
LG," 28 cu.ft. 4 Door French Door with InstaView Dual Ice with Craft Ice, Double Freezer and Smart Wi-Fi Enabled", PrintProof Stainless Steel,3799.99
LG, 24.5 Cu. Ft. French Door Refrigerator with Wi-Fi, Stainless steel,2699.99
Samsung," 23 cu. ft. 4-Door Flex™ French Door Refrigerator with WiFi, AutoFill Water Pitcher & Dual Ice Maker", Fingerprint Resistant Stainless Steel,2969.99
Samsung, 22.6 Cu. Ft. French Door Counter-Depth Refrigerator with CoolSelect Pantry™, White,2429.99
Samsung, Family Hub 22 Cu. Ft. 4-Door Flex French Door Counter-Depth Fingerprint Resistant Refrigerator, Black stainless steel,4099.99
Insignia™, 25.4 Cu. Ft. French Door Refrigerator with Water Dispenser, Stainless steel,1699.99
LG, 25.1 Cu. Ft. French Door Refrigerator, Stainless steel,1899.99
Samsung, BESPOKE 29 cu. ft. 4-Door Flex™ French Door Refrigerator with WiFi and Customizable Panel Colors, Custom Panel-Ready (Panels Sold Separately),2799.99
Samsung, 28 Cu. Ft. French Door Fingerprint Resistant Refrigerator with CoolSelect Pantry™, TuscanStainless Steel,2519.99
LG," 28 cu.ft. 4 Door French Door with Dual Ice with Craft Ice, Double Freezer and Smart Wi-Fi Enabled", PrintProof Stainless Steel,3099.99
Samsung, 27.8 Cu. Ft. 4-Door French Door Refrigerator with Food Showcase, Tuscan Stainless Steel,3149.99
Samsung," 29 cu. ft. 4-Door Flex™ French Door Refrigerator with WiFi, AutoFill Water Pitcher & Dual Ice Maker", Fingerprint Resistant Black Stainless Steel,2969.99
KitchenAid, 27 Cu. Ft. French Door Refrigerator, Black Stainless Steel with Printshield Finish,3149.99
Samsung, 28 cu. ft. Large Capacity 3-Door French Door Refrigerator, White,1619.99
LG," 28 cu.ft. 4 Door French Door with InstaView Dual Ice with Craft Ice, Double Freezer and Smart Wi-Fi Enabled", PrintProof Black Stainless Steel,3899.99
Samsung, 22.5 Cu. Ft. French Door Counter-Depth Fingerprint Resistant Refrigerator with Food Showcase, Stainless steel,2789.99
GE, 27 Cu. Ft. French Door Fingerprint Resistant Refrigerator, Stainless steel,1979.99
GE, 27 Cu. Ft. French Door Refrigerator, Slate,1979.99
Samsung, 23 cu. ft. Counter Depth 4-Door with Cool Select Plus Fingerprint Resistant Refrigerator, Stainless steel,3099.99
Frigidaire, Gallery 21.7 Cu. Ft. Counter-Depth French Door Refrigerator, Stainless steel,2654.99
GE, 25.5 Cu. Ft. French Door Refrigerator, Stainless steel,2249.99
Samsung, BESPOKE 23 cu. ft. 4-Door Flex™ French Door Counter Depth Refrigerator with WiFi and Customizable Panel Colors, Matte Black Steel,3199.99
Samsung, 24.6 Cu. Ft. French Door Refrigerator with Thru-the-Door Ice and Water, Stainless steel,1999.99
Thermador, Masterpiece 20.8 cu. Ft. French Door Counter-Depth Refrigerator with HomeConnect,,4999.0
GE, ENERGY STAR® 28.7 Cu. Ft. Fingerprint Resistant French-Door Refrigerator, Stainless steel,2004.99
Fisher & Paykel, ActiveSmart 16.8 Cu. Ft. French Door Built-In Refrigerator, Panel Ready,4399.0
Bosch, 800 Series 21 Cu. Ft. French Door Counter-Depth Refrigerator, Black stainless steel,3199.99
Samsung, Family Hub 22.2 Cu. Ft. 4-Door French Door Counter-Depth Fingerprint Resistant Refrigerator, Tuscan Stainless Steel,3599.99
GE, 18.6 Cu. Ft. French Door Counter-Depth Refrigerator, Slate,1709.99
GE, 25.6 Cu. Ft. French Door Refrigerator, High-Gloss Black,2069.99
Samsung, 22.1 Cu. Ft. 4-Door Flex French Door Counter-Depth Fingerprint Resistant Refrigerator with Food ShowCase, Black stainless steel,3499.99
GE, Profile Series ENERGY STAR 22.1 Cu. Ft. Smart Fingerprint Resistant French-Door Refrigerator with Keurig® Brewing System, Stainless steel,3059.99
LG, 29.5 Cu. Ft. 4-Door French Door Refrigerator with Door-in-Door and Craft Ice, PrintProof Black Stainless Steel,3399.99
GE, 23.8 Cu. Ft. French Door Refrigerator, Stainless steel,2249.99
Samsung, 22.6 Cu. Ft. 4-Door French Door Counter Depth Refrigerator, Tuscan Stainless Steel,2879.99
LG, 21.9 Cu. Ft. French Door-in-Door Counter-Depth Refrigerator, Black stainless steel,2999.99
Thor Kitchen, 20.7-cu ft 4-Door Counter-Depth French Door Refrigerator with Ice Maker-Stainless Steel, Stainless steel,2299.99
Thermador, Freedom Collection 19.4 cu. ft. French Door Built-in Refrigerator with Masterpiece Series Handles,,9599.0
Bosch, 800 Series 20.8 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,3499.99
Frigidaire, 26.8 Cu. Ft. French Door Refrigerator, Black stainless steel,2204.99
KitchenAid, 25.8 Cu. Ft. 5-Door French Door Refrigerator, Black stainless steel,4199.99
